track_id,track_name,track_artists,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,"['Swedish House Mafia', 'John Martin']",85,3RKhRsifs4RWrqvWV1YpPY,Don't You Worry Child,2012-09-14,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,4,0
4J7CKHCF3mdL4diUsmW8lq,Under Control (feat. Hurts),"['Calvin Harris', 'Alesso', 'Hurts']",78,48zisMeiXniWLzOQghbPqS,Motion,2014-10-31,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.544,0.915,8,-3.405,1,0.0841,0.129,0.000914,0.115,0.51,126.094,184280,4,1
2rgtCOVK2tpfao2VjURn84,Lovers on the Sun (feat. Sam Martin),"['David Guetta', 'Sam Martin']",74,4EFljID75pgTjwoqppr8EG,Lovers on the Sun (feat. Sam Martin),2014-06-30,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.645,0.891,6,-2.505,0,0.0387,0.0932,3.88e-06,0.379,0.568,124.915,203520,4,0
6PUIzlqotEmPuBfjbwYWOB,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,"['Lana Del Rey', 'Cedric Gervais']",78,1fXwOvaqIdkhp5F3fiFbCv,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),2013-02-01,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,214912,4,0
4bT2zLVv2T4GiK9q9KtI0v,Stay The Night - Featuring Hayley Williams Of Paramore,"['Zedd', 'Hayley Williams']",66,7iC7iQaeRrG33H6VInfl00,Clarity (Deluxe),2014-01-01,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347,4,1
125pra63SeWRAMB1XOqb1R,Tsunami (Jump) (feat. Tinie Tempah) - Radio Edit,"['DVBBS', 'Borgeous', 'Tinie Tempah']",27,260t6vduJ7ZREFukPsvVax,Tsunami (Jump) (feat. Tinie Tempah) [Radio Edit],2014-03-07,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.699,0.982,11,-1.115,0,0.142,0.0421,0.000332,0.0854,0.389,127.966,159480,4,0
5L2l7mI8J1USMzhsmdjat9,Red Lights,['Tiësto'],69,4SHlBT6B3kL8bdj6X2xHRp,A Town Called Paradise,2014-06-13,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.654,0.83,10,-4.801,1,0.0366,0.000629,1.13e-06,0.121,0.548,124.989,262200,4,1
0MOiv7WTXCqvm89lVCf9C8,Million Voices - Radio Edit,['Otto Knows'],71,5MWroVrYaSes2sqy4ybjPR,Clubland 100% Euphoric,2016-11-25,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.582,0.894,8,-6.298,1,0.041,0.0022,0.0223,0.0664,0.0694,125.946,192867,4,1
6iznpTNBnljkbP0WtAfn50,One (Your Name) - Radio Edit,"['Swedish House Mafia', 'Pharrell Williams']",52,5aLY2ivPGXvFX770ihBnmd,One (Your Name),2010-07-23,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.733,0.673,9,-6.572,0,0.0333,0.0132,0.0049,0.16,0.636,125.061,163247,4,0
6qVXkG01rBYGfxIndGOQ3z,Shot Me Down (feat. Skylar Grey) - Radio Edit,"['David Guetta', 'Skylar Grey']",62,77UW17CZFyCaRLHdHeofZu,Listen,2014-11-10,EDM Classics 2010 - 2015,10PXjjuLhwtYRZtJkgixLO,edm,0.347,0.772,5,-4.359,0,0.0549,0.0597,0.0333,0.115,0.035,192.118,191412,3,0
