track_id,track_name,track_artists,track_popularity,preview,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",86,https://p.scdn.co/mp3-preview/258a571c0ae04c58dad7ff59c49b0bd39cb1986b?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,227267,4,0
1dbar1XukTbn7FQzQTqDQK,Outside All Night (feat. A$AP Rocky & N3WYRKLA),"['Brent Faiyaz', 'N3WYRKLA', 'A$AP Rocky']",76,https://p.scdn.co/mp3-preview/969a401d24c2edf4a7f9182a3ac8dde5004adc7f?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273180c0d19e7dedffa7f7cb4b9,0.649,0.667,1,-7.799,0,0.123,0.0941,0.0,0.121,0.826,141.967,202817,4,1
4VY32hdU4byJ6cpEBAXRul,Outside,['Bryson Tiller'],67,https://p.scdn.co/mp3-preview/83e97822db0d0114809e9b830d20c01818f91cde?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273b0141981cfa199a11281dfd4,0.729,0.513,6,-7.507,1,0.0554,0.125,0.0,0.112,0.775,97.254,199924,4,1
5PIfH6BzcmH04RDmtzF0BN,Outside Today,['YoungBoy Never Broke Again'],65,https://p.scdn.co/mp3-preview/b719b6667d0ad98f4d5bae84e8aaea67cc4c8af0?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27320f9c767b8624a234a578f21,0.851,0.666,11,-5.334,0,0.0694,0.139,0.0,0.105,0.0585,134.068,129105,4,1
0W9pobrdXIEnjrMusxTn0D,Outside (Hardstyle),['crypvolk'],64,https://p.scdn.co/mp3-preview/9630e8a1d4c94575ed6087a163d3689e0ca963b0?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b2734a55c45523b1942f44f1c3fe,0.558,0.905,2,-3.352,0,0.0317,0.191,7.63e-05,0.27,0.397,149.908,176000,4,1
4jk00YxPtPbhvHJE9N4ddv,OUTSIDE HARDSTYLE SPED UP,['SICK LEGEND'],63,https://p.scdn.co/mp3-preview/e4e1aa8b5e92d4b975affb1a8c894aa3b13e52c8?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273421f78324a2c49d041650f1d,0.443,0.83,4,-4.679,0,0.0647,0.0243,0.0,0.154,0.419,168.388,136842,4,1
5D6rk7Zr7FRy5m2fDte5fp,Outside,['Staind'],62,https://p.scdn.co/mp3-preview/dc571b1ba19ba798a28855543734968516fea44b?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27300e9c78a5d11dd6cf8e8f43e,0.515,0.594,1,-4.708,1,0.0262,0.00844,0.00658,0.0752,0.218,146.564,293133,4,0
1S5PiFK3Lifv954kpfbuOG,Outside - TikTok Remix,['Ren'],61,https://p.scdn.co/mp3-preview/517cb9458185651271a7ff50bda6a1358ae2c66c?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b27397b369c0ee868a542edc25c6,0.569,0.866,5,-4.367,0,0.0674,0.419,0.00271,0.342,0.484,155.792,186817,4,1
0YeFJA0ZQ4dfzaW8ReX7wo,OUTSIDE HARDSTYLE,"['SICK LEGEND', 'GYM HARDSTYLE', 'HARDSTYLE BRAH']",58,https://p.scdn.co/mp3-preview/b88a82e533a45be6ebfb93860df0df986e7bc560?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273f8afb99f209d1132d8876b75,0.504,0.851,2,-5.044,0,0.0417,0.0146,0.0,0.15,0.54,150.063,153600,4,1
18xb87vqplkgi6jBI4fxuI,OUTSIDE HARDSTYLE,"['SICK LEGEND', 'GYM HARDSTYLE', 'HARDSTYLE BRAH']",57,https://p.scdn.co/mp3-preview/b88a82e533a45be6ebfb93860df0df986e7bc560?cid=64f71dc4feea42ba8a001845e907b58d,https://i.scdn.co/image/ab67616d0000b273efb4357e681842954cb178a4,0.504,0.851,2,-5.044,0,0.0417,0.0146,0.0,0.15,0.54,150.063,153600,4,1
